Route;Incidents
OOS;321
18;191
55;177
24;165
73;156
96;155
149;154
207;153
25;143
12;136
137;136
65;136
390;135
38;133
142;132
253;131
281;130
53;130
254;126
29;124
205;123
177;121
86;121
60;120
144;120
197;120
453;118
88;117
220;117
174;115
140;114
51;110
263;109
468;109
141;107
279;107
208;105
243;105
63;104
16;103
5;101
34;101
250;101
11;100
59;99
75;96
168;96
43;95
47;95
15;94
54;94
56;93
136;92
8;91
52;91
67;91
111;91
131;91
349;91
10;90
159;90
36;90
122;90
W3;89
2;89
427;88
48;87
102;86
121;86
185;85
133;85
98;84
68;83
267;83
83;82
91;82
97;82
106;82
134;82
27;81
6;80
57;79
176;78
237;78
391;78
33;77
259;76
221;75
264;75
266;75
21;72
109;71
182;71
283;70
66;70
410;70
37;69
123;69
148;69
248;69
90;68
466;68
41;68
450;68
607;68
50;67
189;67
297;67
275;66
64;66
114;66
4;65
260;65
194;65
472;65
195;64
341;64
277;64
19;63
229;63
23;62
171;62
9;61
343;61
99;60
222;60
319;60
345;60
181;59
329;59
242;58
302;58
E8;58
69;58
113;58
436;58
103;57
62;57
71;56
85;56
307;56
422;56
13;56
31;55
32;55
333;55
358;55
252;55
K2;54
119;54
165;54
45;53
158;53
P12;53
249;53
76;52
184;52
262;52
340;52
C11;52
U4;52
274;52
147;52
35;51
169;51
92;51
128;51
145;51
3;51
H98;50
183;50
155;49
321;49
355;49
371;49
E3;49
W8;49
175;49
94;48
214;48
87;48
30;48
14;47
115;47
161;47
196;47
245;47
93;46
199;46
235;46
328;46
E2;46
82;46
120;46
227;46
366;46
370;45
7;45
188;45
58;45
295;45
H91;43
316;43
230;43
332;43
269;42
P13;42
74;41
77;41
125;41
180;41
257;41
322;41
S1;41
105;41
104;40
247;40
170;39
172;39
320;39
325;39
261;39
473;39
72;39
483;39
79;38
108;38
61;37
217;37
232;37
EL1;37
166;37
285;36
336;36
258;36
C10;36
157;35
393;35
204;35
365;35
206;35
U3;35
1;34
118;34
203;34
210;34
282;34
363;34
EL2;34
40;34
238;34
271;34
46;34
412;34
22;33
81;33
89;33
150;33
213;33
432;33
H12;33
W15;33
265;33
139;32
P5;32
380;32
236;32
289;32
W4;32
318;32
179;32
U5;32
211;32
160;31
474;31
130;31
287;31
E6;31
132;31
469;31
44;30
198;30
173;30
486;30
G1;30
124;30
386;30
186;30
314;30
143;29
202;29
268;29
288;29
403;29
407;29
430;29
499;29
440;29
W6;29
17;28
70;28
381;28
78;28
95;27
312;27
415;27
428;27
H37;27
28;27
127;27
496;27
507;27
P4;27
RR;27
303;27
330;27
413;27
216;27
276;26
B15;26
187;26
405;26
460;26
N15;25
W7;25
42;25
326;25
241;24
D3;24
162;24
212;24
39;24
107;24
224;24
493;23
E11;23
U1;23
191;23
228;23
344;23
280;22
E5;22
X26;22
270;22
294;22
E7;22
406;22
337;22
49;21
384;21
484;21
B13;21
491;21
192;21
476;21
308;21
417;21
444;20
492;20
101;20
N29;20
R11;20
W19;20
80;20
135;20
364;20
240;20
498;20
256;20
EL3;20
226;19
110;19
291;19
354;19
372;19
382;19
296;19
490;19
284;18
B12;18
234;18
425;18
112;18
401;18
387;17
482;17
163;17
201;17
190;17
U2;17
313;17
164;17
H22;17
305;17
K3;17
B14;17
H32;16
200;16
244;16
353;16
D6;16
324;16
356;16
C1;16
117;16
414;16
255;16
286;16
339;16
368;16
151;15
418;15
D7;15
465;15
521;15
N8;15
R70;15
273;15
317;15
360;15
193;15
463;15
H25;15
N207;15
167;15
292;15
433;15
154;14
178;14
209;14
487;14
251;14
H28;14
419;14
225;14
233;14
B16;14
331;14
272;14
(blank);14
E9;13
W14;13
455;13
470;13
116;13
376;13
E1;13
E10;13
K1;12
R2;12
411;12
219;12
H11;12
S3;11
394;11
H19;11
H2;11
H18;11
396;11
B11;11
N55;11
488;11
223;11
362;10
N73;10
T31;10
352;10
152;10
R68;10
395;10
423;10
N9;10
R1;10
W16;10
W11;10
462;10
293;10
H13;10
H17;10
367;10
397;9
D8;9
N253;9
W9;9
388;9
N38;9
N87;9
N98;9
481;9
379;9
156;9
26;9
153;9
K5;9
R9;8
309;8
H9;8
C2;8
H10;8
N16;8
126;8
300;8
H20;8
N20;8
350;8
A10;8
N5;7
315;7
231;7
X68;7
C3;7
464;7
246;6
U7;6
N279;6
215;6
290;6
K4;6
R4;6
RV1;6
452;6
R3;6
323;6
T33;5
299;5
N155;5
U9;5
357;5
W5;5
N63;5
100;5
138;5
N109;5
N18;5
W13;5
359;5
U10;5
377;4
697;4
N47;4
N97;4
R6;4
N35;4
H14;4
485;4
N7;4
H26;4
N22;4
N11;4
N137;4
N91;4
346;4
20;4
N83;4
N21;4
N133;4
N1;4
383;3
541;3
664;3
N19;3
N136;3
N86;3
N550;3
N343;3
601;3
N3;3
638;3
398;3
N44;2
N89;2
N2;2
N26;2
S4;2
N199;2
N551;2
N74;2
129;2
385;2
N205;2
R7;2
N31;2
146;2
696;2
698;2
N453;2
T32;1
648;1
669;1
617;1
611;1
602;1
424;1
N28;1
327;1
298;1
612;1
N381;1
643;1
650;1
434;1
N171;1
632;1
621;1
404;1
R10;1
688;1
690;1
467;1
625;1
W12;1
N113;1
